A_Feed_stream1,D_Feed_stream2,E_Feed_stream3,AC_Feed_stream4,Recycle_Flow_stream8,Reactor_Feed_Rate_stream6,Reactor_Pressure,Reactor_Level,Reactor_Temperature,Purge_Rate_stream9,Product_Sep_Temp,Product_Sep_Level,Prod_Sep_Pressure,Prod_Sep_Underflow_stream10,Stripper_Level,Stripper_Pressure,Stripper_Underflow_stream11,Stripper_Temperature,Stripper_Steam_Flow,Compressor_Work,Reactor_CW_Outlet_Temp,Separator_CW_Outlet_Temp,Reactor_Feed_CompA,Reactor_Feed_CompB,Reactor_Feed_CompC,Reactor_Feed_CompD,Reactor_Feed_CompE,Reactor_Feed_CompF,Purge_Gas_CompA,Purge_Gas_CompB,Purge_Gas_CompC,Purge_Gas_CompD,Purge_Gas_CompE,Purge_Gas_CompF,Purge_Gas_CompG,Purge_Gas_CompH,Product_CompD,Product_CompE,Product_CompF,Product_CompG,Product_CompH,D_Feed_Flow,E_Feed_Flow,A_Feed_Flow,AC_Feed_Flow,Compressor_Recycle_Valve,Purge_Valve,Separator_Pot_Liquid_Flow,Stripper_Product_Flow,Stripper_Steam_Valve,Reactor_CW_Flow,Condenser_CW_Flow,fault
0.24987,0.25118,0.25185,0.25147,0.24107,0.24314,0.26121,0.26004,0.25202,0.25513,0.2289,0.23041,0.24305,0.24107,0.23164,0.23226,0.25887,0.25979,0.26402,0.266,0.25435,0.25539,0.26915,0.26621,0.22884,0.22591,0.26744,0.26791,0.26363,0.26271,0.25566,0.25553,0.24871,0.24996,0.29993,0.29837,0.26424,0.26314,0.27733,0.27906,0.24091,0.24087,0.1904,0.18823,0.23953,0.23906,0.22432,0.22551,0.24163,0.24219,0.24377,0.24361,0
3642.6,3694.8,3683.5,3653.9,3629.3,3681.9,3712.5,3722.7,3684.0,3643.7,3674.9,3642.9,3667.8,3650.0,3678.0,3661.7,3643.3,3615.0,3696.1,3662.9,3654.5,3644.6,3669.6,3683.7,3672.7,3643.2,3648.3,3670.2,3677.1,3651.7,3652.0,3668.7,3633.7,3617.3,3593.7,3647.6,3695.7,3669.7,3637.6,3649.3,3695.6,3682.1,3662.8,3682.0,3664.9,3650.4,3716.4,3686.4,3626.3,3664.2,3631.5,3628.0,0
4539.6,4513.8,4504.9,4531.9,4527.0,4485.6,4511.7,4518.3,4510.0,4476.7,4501.8,4532.3,4518.7,4520.0,4511.3,4508.2,4483.8,4497.7,4568.1,4525.3,4528.8,4532.3,4539.7,4532.3,4491.6,4523.5,4563.5,4595.3,4488.3,4535.1,4441.6,4492.5,4552.1,4559.2,4517.6,4531.6,4537.2,4557.3,4508.3,4498.8,4537.2,4535.4,4551.8,4548.5,4573.5,4551.0,4532.3,4542.7,4540.1,4523.2,4483.7,4507.6,0
9.2784,9.2831,9.46,9.3462,9.3406,9.2274,9.3253,9.3491,9.4889,9.3231,9.33,9.2339,9.3578,9.3659,9.3792,9.3486,9.3162,9.3705,9.3586,9.3448,9.3382,9.341,9.4384,9.3307,9.2793,9.269,9.2639,9.403,9.2833,9.2782,9.3297,9.2981,9.4682,9.2492,9.37,9.4684,9.4462,9.3207,9.2838,9.3129,9.3996,9.2806,9.2865,9.3031,9.2753,9.2842,9.2336,9.1853,9.3927,9.2796,9.2841,9.2645,0
27.2,27.077,26.987,26.983,27.041,26.555,26.865,27.055,26.562,27.103,26.867,27.112,26.332,26.821,26.588,26.836,26.779,27.102,27.282,27.047,27.143,26.997,26.89,26.929,27.005,26.967,27.317,26.641,26.934,26.823,26.605,26.864,26.875,26.722,26.556,26.862,27.136,26.841,26.941,26.892,27.048,26.828,26.922,27.133,26.682,27.225,26.823,26.878,27.098,27.076,27.038,27.077,0
42.248,42.736,42.245,42.656,42.52,42.587,42.247,42.37,42.508,42.172,42.396,42.418,42.295,42.332,42.326,42.261,42.438,42.398,42.306,42.772,42.544,42.297,42.5,42.097,41.886,42.528,42.289,42.384,42.37,42.185,42.504,42.515,41.882,42.456,42.416,42.397,42.224,42.147,42.045,42.363,42.506,42.273,42.406,42.342,42.346,42.221,42.268,42.284,42.841,41.736,42.089,42.125,0
2704.2,2705.4,2705.2,2706.3,2705.6,2704.9,2704.1,2703.0,2703.8,2705.9,2707.6,2704.9,2704.4,2703.9,2705.7,2706.8,2706.9,2706.5,2709.0,2706.7,2705.2,2706.3,2708.1,2709.8,2710.0,2708.4,2705.9,2706.4,2705.4,2706.9,2706.2,2704.4,2704.6,2705.0,2707.9,2708.9,2709.7,2712.4,2709.7,2706.2,2705.9,2703.3,2704.2,2702.3,2703.8,2704.4,2705.3,2701.9,2699.5,2698.0,2697.9,2696.6,0
75.492,74.628,74.315,75.487,75.332,75.491,75.189,74.842,75.205,75.086,75.465,75.34,74.839,75.658,75.046,75.25,75.68,75.791,75.037,75.558,75.049,75.229,73.868,74.792,74.6,74.37,74.772,75.708,75.802,74.722,74.777,75.01,74.908,73.784,75.427,76.75,74.238,75.55,74.912,74.619,75.481,74.927,74.542,75.067,74.917,74.973,76.322,75.428,75.322,75.153,74.66,75.57,0
120.4,120.41,120.42,120.39,120.38,120.39,120.38,120.4,120.39,120.4,120.4,120.38,120.41,120.37,120.43,120.4,120.4,120.39,120.4,120.39,120.4,120.4,120.4,120.41,120.41,120.39,120.4,120.39,120.39,120.41,120.39,120.41,120.37,120.39,120.39,120.39,120.42,120.43,120.42,120.42,120.41,120.41,120.4,120.4,120.42,120.41,120.42,120.39,120.41,120.36,120.39,120.4,0
0.3399,0.3356,0.33761,0.33631,0.34839,0.34411,0.35182,0.35126,0.34324,0.34227,0.33701,0.33602,0.34943,0.34756,0.34859,0.34951,0.32982,0.33016,0.32591,0.32348,0.3444,0.34625,0.3359,0.3365,0.31343,0.31218,0.34449,0.33763,0.34793,0.34542,0.3402,0.34009,0.34475,0.3466,0.34509,0.34465,0.33924,0.33832,0.32741,0.3266,0.35319,0.35439,0.33476,0.3334,0.3238,0.32464,0.32711,0.32839,0.33514,0.33655,0.34745,0.34561,0
